Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"ATM.NZ, Long, 2026-03-17 (Price: 11.5)",No Exit Yet,"-1.57%, 2 days","92.31%, Past 5 years, 13","Daily, was CONFIRMED on 2026-03-17",Already confirmed,"2026-03-19 (Price: 11.32), 1.57% below",2 days,11.43,No Information,No Information,No Information,"23.66% (Price: 11.273), 0.42% above, Upmove Bounce Back","2026-01-20 (Price: 9.25), 2026-03-09 (Price: 11.9)",No Information,20.37%/5.32%/11.64%,"1.65%, 37.5%",1.1 year/21 days/6 months,2027-10-11/2026-04-16/2026-12-02,23.8%,-3.41%,27.21%,1.69,-0.03,12.3636/12.8386/13.09/No Horizontal Resistance/21.86/25.8879/No EMA 200 Target,11.35/5.185/9.9254/9.2893/No F-Track Level/No F-Track Level/9.99,92.11%/279/5.4 months (Across ALL Assets),44.44%/54/5.2 months (Across ALL Assets)
FRACTAL TRACK,"PG, Long, 2026-03-17 (Price: 151.48)",No Exit Yet,"-4.38%, 2 days","92.31%, Past 5 years, 13","Daily, was CONFIRMED on 2026-03-17",Already confirmed,"2026-03-19 (Price: 144.84), 4.38% below",2 days,153.01,No Information,No Information,No Information,"50% (Price: 152.43), 4.98% below, Upmove Bounce Back","2026-01-07 (Price: 137.62), 2026-02-27 (Price: 167.24)",No Information,11.03%/2.9%/8.22%,"2.47%, 24.38%",2.6 years/1.7 month/9.3 months,2029-12-01/2026-05-29/2027-04-25,11.54%,1.17%,10.37%,0.89,-0.07,153.3432/163.9317/169.25/179.4533/186.6499/209.3631/152.98,150.5/130.72/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.11%/279/5.4 months (Across ALL Assets),44.44%/54/5.2 months (Across ALL Assets)
DELTADRIFT,"AAPL, Long, 2026-03-17 (Price: 254.23)",No Exit Yet,"-2.07%, 2 days","90.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-03-17",Already confirmed,"2026-03-19 (Price: 248.96), 2.07% below",2 days,253.0785,No Information,No Information,No Information,No Information,No Information,No Information,6.6%/2.84%/3.83%,"4.88%, 13.99%",2.3 months/2 days/21 days,2026-06-24/2026-03-19/2026-04-16,9.39%,10.3%,-0.91%,0.96,0.55,270.3736/263.967/267.17/284.765/289.238/325.3828/No EMA 200 Target,250.12/136.32/202.8031/187.5583/No F-Track Level/No F-Track Level/246.6,76.09%/138/15 days (Across ALL Assets),73.69%/517/15 days (Across ALL Assets)
TRENDPULSE,"IFT.NZ, Long, 2026-03-17 (Price: 10.9)",No Exit Yet,"0.37%, 2 days","96.15%, Past 4 years, 26","Daily, is CONFIRMED on 2026-03-17",Already confirmed,"2026-03-19 (Price: 10.94), 0.37% above",2 days,10.81,No Information,No Information,No Information,No Information,No Information,0.92% above/0.37% above/0.37% above,9.48%/0.89%/4.11%,"10.91%, 28.9%",3.3 months/6 days/1.1 month,2026-08-07/2026-03-25/2026-05-03,15.16%,8.14%,7.02%,0.86,0.43,11.3938/11.348/12.07/12.825/18.927/29.733/11.49,10.65/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.07%/290/1.3 month (Across ALL Assets),80.08%/517/1.4 month (Across ALL Assets)
TRENDPULSE,"PYPL, Long, 2026-03-17 (Price: 46.13)",No Exit Yet,"-4.21%, 2 days","78.57%, Past 4 years, 14","Daily, is CONFIRMED on 2026-03-17",Already confirmed,"2026-03-19 (Price: 44.19), 4.21% below",2 days,45.85,No Information,No Information,No Information,No Information,No Information,1.58% below/4.21% below/4.21% below,7.4%/1.59%/4.62%,"17.75%, 23.23%",1.7 month/6 days/17 days,2026-05-29/2026-03-25/2026-04-10,8.66%,-12.11%,20.77%,0.09,-0.28,48.4826/48.2612/47.55/92.955/No Next Fib Ext/No Next Fib Ext/63.43,44.36/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.07%/290/1.3 month (Across ALL Assets),80.08%/517/1.4 month (Across ALL Assets)
TRENDPULSE,"UBER, Long, 2026-03-17 (Price: 77.79)",No Exit Yet,"-3.15%, 2 days","88.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-03-17",Already confirmed,"2026-03-19 (Price: 75.34), 3.15% below",2 days,77.39,No Information,No Information,No Information,No Information,No Information,2.74% above/3.15% below/3.15% below,15.75%/2.64%/8.94%,"34.98%, 57.69%",3.5 months/4 days/25 days,2026-08-16/2026-03-22/2026-04-22,11.48%,7.62%,3.86%,0.3,0.43,82.1696/84.7444/91.33/82.12/111.0948/120.7433/87.66,72.36/34.6025/75.9736/63.3753/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.07%/290/1.3 month (Across ALL Assets),80.08%/517/1.4 month (Across ALL Assets)
DELTADRIFT,"JNK, Long, 2026-03-16 (Price: 95.65)",No Exit Yet,"0.15%, 3 days","78.57%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-16",Already confirmed,"2026-03-19 (Price: 95.79), 0.15% above",3 days,95.66,No Information,No Information,No Information,No Information,No Information,No Information,2.45%/0.59%/1.37%,"3.61%, 4.19%",1.4 month/1 day/15 days,2026-05-15/2026-03-17/2026-04-06,5.35%,-1.47%,6.82%,0.26,-0.82,97.936/96.9604/97.45/108.6314/No Next Fib Ext/No Next Fib Ext/97.05,95.25/88.8814/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,76.09%/138/15 days (Across ALL Assets),73.69%/517/15 days (Across ALL Assets)
DELTADRIFT,"^GSPC, Long, 2026-03-16 (Price: 6699.3799)",No Exit Yet,"-1.39%, 3 days","80.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-03-16",Already confirmed,"2026-03-19 (Price: 6606.4902), 1.39% below",3 days,6674.3701,No Information,No Information,No Information,No Information,No Information,No Information,3.94%/1.7%/2.66%,"5.5%, 5.5%",21 days/2 days/9 days,2026-04-15/2026-03-18/2026-03-29,6.85%,8.78%,-1.93%,0.31,0.59,7093.9734/6877.5834/6985.78/6961.3098/8586.4727/11677.179/No EMA 200 Target,6632.19/4128.7074/6676.3264/5495.7663/No F-Track Level/No F-Track Level/6619.05,76.09%/138/15 days (Across ALL Assets),73.69%/517/15 days (Across ALL Assets)
DELTADRIFT,"SPY, Long, 2026-03-16 (Price: 669.03)",No Exit Yet,"-1.38%, 3 days","81.82%, Past 4 years, 11","Daily, was CONFIRMED on 2026-03-16",Already confirmed,"2026-03-19 (Price: 659.8), 1.38% below",3 days,668.38,No Information,No Information,No Information,No Information,No Information,No Information,4.02%/1.22%/2.49%,"5.43%, 5.45%",1.1 month/1 day/11 days,2026-05-02/2026-03-17/2026-03-31,6.87%,8.78%,-1.91%,0.35,0.59,708.369/685.6888/697.03/693.77/969.1148/1522.3697/No EMA 200 Target,662.29/412.1625/627.1849/415.8599/No F-Track Level/No F-Track Level/660.1,76.09%/138/15 days (Across ALL Assets),73.69%/517/15 days (Across ALL Assets)
DELTADRIFT,"TCS.NS, Long, 2026-03-16 (Price: 2409.2)",No Exit Yet,"-2.21%, 3 days","86.67%, Past 4 years, 15","Daily, was CONFIRMED on 2026-03-16",Already confirmed,"2026-03-19 (Price: 2356.0), 2.21% below",3 days,2410.0,No Information,No Information,No Information,No Information,No Information,No Information,5.68%/1.73%/3.28%,"4.58%, 4.96%",21 days/1 day/10 days,2026-04-15/2026-03-17/2026-03-30,12.04%,-0.2%,12.24%,0.76,-0.13,2571.0982/2488.2218/2529.66/4543.575/5051.5642/5692.579/3088.4,No Recent Minima/No Horizontal Support/2286.8248/1821.1782/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,76.09%/138/15 days (Across ALL Assets),73.69%/517/15 days (Across ALL Assets)
DELTADRIFT,"XLF, Long, 2026-03-16 (Price: 49.3)",No Exit Yet,"-0.63%, 3 days","90.91%, Past 4 years, 11","Daily, was CONFIRMED on 2026-03-16",Already confirmed,"2026-03-19 (Price: 48.99), 0.63% below",3 days,49.25,No Information,No Information,No Information,No Information,No Information,No Information,4.22%/1.32%/2.7%,"8.98%, 9.74%",1.1 month/2 days/10 days,2026-05-02/2026-03-18/2026-03-30,6.63%,8.74%,-2.11%,0.38,0.55,53.0123/50.6311/51.82/51.78/70.6138/110.4396/52.79,48.83/30.1167/45.9996/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,76.09%/138/15 days (Across ALL Assets),73.69%/517/15 days (Across ALL Assets)
DELTADRIFT,"HYG, Long, 2026-03-16 (Price: 79.45)",No Exit Yet,"0.26%, 3 days","85.71%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-16",Already confirmed,"2026-03-19 (Price: 79.66), 0.26% above",3 days,79.51,No Information,No Information,No Information,No Information,No Information,No Information,2.18%/0.82%/1.28%,"4.4%, 4.96%",1.2 month/1 day/12 days,2026-05-07/2026-03-17/2026-04-02,5.93%,-1.0%,6.93%,0.33,-0.74,81.5554/80.467/81.01/86.9871/No Next Fib Ext/No Next Fib Ext/80.52,79.2/72.2733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,76.09%/138/15 days (Across ALL Assets),73.69%/517/15 days (Across ALL Assets)
DELTADRIFT,"MEL.NZ, Long, 2026-03-16 (Price: 5.38)",2026-03-18 (Price: 5.63),"4.65%, 2 days","77.78%, Past 4 years, 9","Daily, was CONFIRMED on 2026-03-16",Already confirmed,"2026-03-19 (Price: 5.47), 1.67% above",3 days,5.41,No Information,No Information,No Information,No Information,No Information,No Information,4.7%/2.65%/3.72%,"9.78%, 16.99%",23 days/1 day/11 days,2026-04-18/2026-03-17/2026-03-31,4.59%,-3.26%,7.85%,0.12,-0.21,5.6162/5.5801/5.6/6.825/7.4565/8.4564/5.71,5.34/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,76.09%/138/15 days (Across ALL Assets),73.69%/517/15 days (Across ALL Assets)
DELTADRIFT,"EURUSD=X, Long, 2026-03-16 (Price: 1.1504)",No Exit Yet,"0.71%, 3 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-16",Already confirmed,"2026-03-19 (Price: 1.1586), 0.71% above",3 days,1.151,No Information,No Information,No Information,No Information,No Information,No Information,1.61%/0.52%/0.99%,"2.53%, 3.21%",1 month/1 day/8 days,2026-04-28/2026-03-17/2026-03-27,3.62%,-0.41%,4.03%,0.09,-0.64,1.1709/1.1618/1.17/1.1998/1.6296/1.7649/1.17,1.14/1.0208/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,76.09%/138/15 days (Across ALL Assets),73.69%/517/15 days (Across ALL Assets)
FRACTAL TRACK,"IEI, Long, 2026-03-16 (Price: 119.09)",No Exit Yet,"-0.31%, 3 days","85.71%, Past 5 years, 7","Daily, was CONFIRMED on 2026-03-16",Already confirmed,"2026-03-19 (Price: 118.72), 0.31% below",3 days,119.06,No Information,No Information,No Information,"23.66% (Price: 120.2949), 1.31% below, Upmove Bounce Back","2026-02-03 (Price: 118.73), 2026-02-27 (Price: 120.7799)",No Information,2.05%/2.05%/2.05%,"0.03%, 4.21%",5.8 months/5.8 months/5.8 months,2026-11-23 (Max),3.55%,-1.4%,4.95%,0.29,-1.34,119.5306/121.5313/120.32/130.0867/No Next Fib Ext/No Next Fib Ext/119.22,118.72/113.0583/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.11%/279/5.4 months (Across ALL Assets),44.44%/54/5.2 months (Across ALL Assets)
OSCILLATOR DELTA,"RY.TO, Long, 2026-03-16 (Price: 224.21)",No Exit Yet,"-1.77%, 3 days","80.0%, Past 6 years, 15","Daily, is Confirmed on 2026-03-16",No Cancellation Possible,"2026-03-19 (Price: 220.25), 1.77% below",3 days,222.62,No Information,No Information,No Information,No Information,No Information,No Information,16.11%/5.13%/8.32%,"10.73%, 13.72%",7.3 months/2 days/2.7 months,2027-01-27/2026-03-18/2026-07-11,13.98%,9.01%,4.97%,0.53,0.54,235.555/242.8643/235.42/No Horizontal Resistance/339.4883/371.0652/No EMA 200 Target,No Recent Minima/118.8425/221.431/150.7521/No F-Track Level/No F-Track Level/207.1,97.67%/43/29 days (Across ALL Assets),80.45%/404/27 days (Across ALL Assets)
TRENDPULSE,"JD, Long, 2026-03-16 (Price: 28.49)",No Exit Yet,"-1.65%, 3 days","70.83%, Past 4 years, 24","Daily, is CONFIRMED on 2026-03-16",Already confirmed,"2026-03-19 (Price: 28.02), 1.65% below",3 days,28.47,No Information,No Information,No Information,No Information,No Information,1.06% below/1.65% below/1.65% below,8.94%/0.59%/4.17%,"40.68%, 51.29%",5.6 months/7 days/26 days,2026-11-14/2026-03-26/2026-04-22,-13.53%,-4.79%,-8.74%,-0.19,0.05,30.1681/29.678/33.03/80.755/97.2627/102.2552/31.1,25.4/24.07/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.07%/290/1.3 month (Across ALL Assets),80.08%/517/1.4 month (Across ALL Assets)
FRACTAL TRACK,"XLU, Long, 2026-03-16 (Price: 47.26)",No Exit Yet,"-1.52%, 3 days","100.0%, Past 5 years, 16","Daily, was CONFIRMED on 2026-03-16",Already confirmed,"2026-03-19 (Price: 46.54), 1.52% below",3 days,47.45,No Information,No Information,No Information,"23.66% (Price: 46.3624), 0.38% above, Upmove Bounce Back","2026-01-07 (Price: 41.74), 2026-02-27 (Price: 47.795)",No Information,11.21%/2.82%/8.7%,"-0.0%, 28.07%",2.4 years/1.2 month/9.8 months,2029-08-18/2026-05-07/2027-05-15,18.46%,5.33%,13.13%,2.44,0.28,50.0011/51.3716/50.89/No Horizontal Resistance/49.4858/65.2454/No EMA 200 Target,46.17/29.8725/43.7042/35.4254/No F-Track Level/No F-Track Level/43.43,92.11%/279/5.4 months (Across ALL Assets),44.44%/54/5.2 months (Across ALL Assets)
BASELINEDIVERGENCE,"NVDA, Long, 2026-03-15 (Price: 180.25)",No Exit Yet,"-0.94%, 4 days","83.7%, Past 10 years, 92","Weekly, was CONFIRMED on 2026-03-15",Already confirmed,"2026-03-19 (Price: 178.56), 0.94% below",4 days,176.83,No Information,"^NDX, Normal Case",No Information,No Information,No Information,No Information,175.83%/0.32%/40.35%,"35.55%, 47.56%",8.9 months/2.1 months/4 months,2027-04-05/2026-06-14/2026-09-04,75.78%,46.22%,29.56%,0.69,1.86,226.4481/252.9809/239.8943/No Horizontal Resistance/239.8943/283.6698/No EMA 200 Target,177.19/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/178.29,60.0%/25/3.6 months (Across ALL Assets),64.86%/572/3.3 months (Across ALL Assets)
TRENDPULSE,"^TNX, Long, 2026-03-15 (Price: 4.285)",No Exit Yet,"-0.09%, 4 days","94.12%, Past 10 years, 17","Weekly, is CONFIRMED on 2026-03-13",Already confirmed,"2026-03-19 (Price: 4.281), 0.09% below",4 days,4.173,No Information,No Information,No Information,No Information,No Information,3.58% above/1.73% above/0.09% below,36.67%/4.7%/14.0%,"6.49%, 39.8%",11.7 months/28 days/3 months,2027-08-05/2026-04-24/2026-07-23,12.28%,0.73%,11.55%,1.0,0.14,4.7139/4.8849/4.6/4.6918/17.4008/18.8284/No EMA 200 Target,3.96/1.6875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/4.2,89.19%/148/4.8 months (Across ALL Assets),75.19%/266/3.7 months (Across ALL Assets)
TRENDPULSE,"USO, Long, 2026-03-15 (Price: 119.89)",No Exit Yet,"-2.11%, 4 days","75.0%, Past 10 years, 16","Weekly, is CONFIRMED on 2026-03-13",Already confirmed,"2026-03-19 (Price: 117.36), 2.11% below",4 days,119.42,No Information,No Information,No Information,No Information,No Information,7.9% above/2.11% below/2.11% below,10.72%/0.56%/3.8%,"70.35%, 78.81%",11 months/1.2 month/3.7 months,2027-07-05/2026-05-06/2026-08-22,-7.02%,-6.0%,-1.02%,-0.18,-0.19,No Target/124.4458/141.85/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,68.03/58.7667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/74.94,89.19%/148/4.8 months (Across ALL Assets),75.19%/266/3.7 months (Across ALL Assets)
