Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),SignalType,Signal Open Price
TRENDPULSE,"IFT.NZ, Long, 2026-01-06 (Price: 11.73)",Daily,No Exit Yet,No Price Target,2026-01-14 (Min),5.85%/8.73%,"-4.69%, 6 days","2026-01-30 (Price: 10.9800), 6.39% below",12.3177 (Historic Rise or Fall to Pivot)/12.1558 (Avg % Gain of Historic Winning trades)/12.25 (Exit Rule)/12.825 (Horizontal)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/12.842 (Backtested Max)/11.8344 (Backtested Min),2026-05-25 (Max)/2026-01-14 (Min)/2026-02-11 (Avg),10.7/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/11.42,"96.0%, Past 4 years, 25",No Information,No Information,No Information,No Information,No Information,0.9% above/4.69% below/4.69% below,9.48%/0.89%/3.63%,"10.91%, 28.9%",3.2 months/6 days/25 days,16.02%,10.32%,5.7%,0.78,0.55,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),portfolio_target_achieved,11.48
TRENDPULSE,"SUM.NZ, Long, 2026-01-06 (Price: 12.41)",Daily,No Exit Yet,No Price Target,2026-01-11 (Min),1.05%/1.93%,"0.32%, 3 days","2026-01-30 (Price: 11.3600), 8.46% below",13.0044 (Historic Rise or Fall to Pivot)/13.028 (Avg % Gain of Historic Winning trades)/12.69 (Exit Rule)/13.345 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/13.4698 (Backtested Max)/12.5813 (Backtested Min),2026-10-02 (Max)/2026-01-11 (Min)/2026-02-06 (Avg),11.82/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/11.43,"94.44%, Past 4 years, 18",No Information,No Information,No Information,No Information,No Information,0.32% above/0.32% above/0.32% above,8.54%/1.38%/4.98%,"6.4%, 20.48%",6.2 months/4 days/22 days,16.06%,5.58%,10.48%,1.15,0.29,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),portfolio_target_achieved,12.36
OSCILLATOR DELTA,"IBIT, Long, 2026-01-02 (Price: 50.94)",Daily,2026-01-14 (Price: 55.44),No Price Target,No Date Target,1.89%/2.05%,"6.01%, 13 days","2026-01-29 (Price: 47.6000), 6.56% below",55.02 (Exit Rule)/70.855 (Horizontal)/74.3812 (F-Stack 1)/88.2877 (F-Stack 2)/58.99 (EMA 200)/55.1069 (Backtested Max),2026-02-27 (Max)/2026-01-23 (Min)/2026-02-13 (Avg),No Recent Minima/41.99/45.1961/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,"83.33%, Past 2 years, 6",No Information,No Information,No Information,No Information,No Information,No Information,8.18%/7.68%/7.94%,"13.32%, 14.42%",1.3 month/15 days/29 days,22.32%,27.39%,-5.07%,0.36,1.11,88.52%/61/1.9 month (Across ALL Assets),68.58%/261/2.6 months (Across ALL Assets),portfolio_target_achieved,50.38
FRACTAL TRACK,"FPH.NZ, Long, 2025-12-31 (Price: 37.75)",Monthly,No Exit Yet,39.1438 (Horizontal),No Date Target,4.52%/16.3%,"3.74%, 16 days","2026-01-30 (Price: 39.0900), 3.55% above",47.0516 (Historic Rise or Fall to Pivot)/45.7945 (Avg % Gain of Historic Winning trades)/49.28 (Exit Rule)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/46.3306 (Backtested Max)/45.5416 (Backtested Min),2035-02-19 (Max)/2026-06-22 (Min)/2030-09-16 (Avg),33.54/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.69,"85.71%, Past 24 years, 7",No Information,No Information,No Information,"23.66% (Price: 34.9549), 12.03% above, Upmove Bounce Back","2023-10-31 (Price: 20.29), 2025-01-31 (Price: 39.5)",No Information,22.73%/20.64%/21.31%,"10.15%, 45.89%",6.4 years/4 months/3.3 years,4.68%,9.29%,-4.61%,0.75,0.49,88.57%/35/2.2 years (Across ALL Assets),60.29%/68/9.3 months (Across ALL Assets),portfolio_target_achieved,37.3125
TRENDPULSE,"HDB, Long, 2025-12-31 (Price: 36.54)",Daily,No Exit Yet,No Price Target,2026-01-08 (Min),10.13%/12.08%,"-8.51%, 6 days","2026-01-29 (Price: 32.5500), 10.92% below",38.8968 (Historic Rise or Fall to Pivot)/37.8372 (Avg % Gain of Historic Winning trades)/37.47 (Exit Rule)/39.3812 (Horizontal)/40.717 (F-Stack 1)/47.4928 (F-Stack 2)/38.9626 (Backtested Max)/36.8177 (Backtested Min),2026-02-21 (Max)/2026-01-08 (Min)/2026-01-31 (Avg),35.13/25.6925/32.7076/21.1884/No F-Track Level/No F-Track Level/36.17,"85.71%, Past 4 years, 14",No Information,No Information,No Information,No Information,No Information,8.01% below/8.51% below/8.51% below,6.63%/0.76%/3.55%,"0.81%, 14.63%",1.2 month/6 days/22 days,14.01%,1.7%,12.31%,1.17,0.11,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),portfolio_target_achieved,36.5
FRACTAL TRACK,"NFLX, Short, 2025-12-31 (Price: 93.76)",Quarterly,2026-01-06 (Price: 90.65) (Today),No Price Target,No Date Target,-74.57%/-61.54%,"3.32%, 6 days","2026-01-29 (Price: 83.1600), 11.31% below",66.1196 (Avg % Gain of Historic Winning trades)/23.05 (Exit Rule)/34.8663 (Horizontal)/86.4764 (F-Stack 1)/77.567 (F-Stack 2),2026-05-14 (Max)/2026-05-10 (Min)/2026-05-10 (Min),No support/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No support,"100.0%, Past 23 years, 6",No Information,No Information,No Information,"23.66% (Price: 106.2331), 14.67% below, Upmove Break Below","2022-06-30 (Price: 16.271), 2025-06-30 (Price: 134.115)",No Information,53.32%/10.52%/29.48%,"0.0%, 53.32%",3.1 months/3 months/3 months,11.77%,5.5%,6.27%,1.3,0.88,100.0%/2/7.6 months (Across ALL Assets),63.64%/11/4.1 months (Across ALL Assets),portfolio_target_achieved,117.549
FRACTAL TRACK,"AMD, Short, 2025-12-30 (Price: 215.34)",Daily,No Exit Yet,No Price Target,2025-12-31 (Min),-66.26%/-24.73%,"-0.0%, 0 days","2026-01-29 (Price: 252.1800), 17.11% above",214.4786 (Historic Rise or Fall to Pivot)/206.0588 (Avg % Gain of Historic Winning trades)/184.85 (Exit Rule)/72.6533 (Horizontal)/210.12 (F-Stack 1)/167.5998 (F-Stack 2)/162.09 (EMA 200),2026-03-18 (Max)/2025-12-31 (Min)/2026-01-10 (Avg),No support/72.6533/210.12/167.5998/No support/185.9012/No EMA 200 Support,"85.0%, Past 5 years, 40",No Information,No Information,No Information,"38.2% (Price: 222.0896), 3.04% below, Upmove Break Below","2025-10-29 (Price: 257.4), 2025-11-25 (Price: 206.58)",No Information,8.59%/0.06%/4.31%,"24.21%, 11.06%",1.8 month/1 day/8 days,20.24%,5.1%,15.14%,0.39,0.6,66.67%/9/0 days (Across ALL Assets),43.52%/108/0 days (Across ALL Assets),portfolio_target_achieved,215.87
TRENDPULSE,"NFLX, Long, 2025-12-29 (Price: 94.15)",Daily,No Exit Yet,No Price Target,2026-01-08 (Min),4.33%/6.2%,"-3.72%, 8 days","2026-01-29 (Price: 83.1600), 11.67% below",96.2684 (Historic Rise or Fall to Pivot)/97.2758 (Avg % Gain of Historic Winning trades)/103.57 (Exit Rule)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/113.4 (EMA 200)/100.8817 (Backtested Max)/94.5737 (Backtested Min),2026-04-29 (Max)/2026-01-08 (Min)/2026-03-04 (Avg),93.23/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,"88.24%, Past 4 years, 17",No Information,No Information,No Information,No Information,No Information,4.04% below/3.72% below/3.72% below,7.15%/0.45%/3.32%,"0.57%, 20.2%",2.8 months/7 days/1.5 month,16.89%,16.03%,0.86%,1.0,0.73,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),portfolio_target_achieved,93.99
DELTADRIFT,"PG, Long, 2025-12-28 (Price: 144.74)",Weekly,No Exit Yet,No Price Target,2026-01-07 (Min),6.37%/8.69%,"-3.02%, 8 days","2026-01-29 (Price: 149.9000), 3.57% above",152.9468 (Historic Rise or Fall to Pivot)/152.5704 (Avg % Gain of Historic Winning trades)/152.76 (Exit Rule)/179.4533 (Horizontal)/186.6499 (F-Stack 1)/209.3631 (F-Stack 2)/155.85 (EMA 200)/158.6929 (Backtested Max)/149.3138 (Backtested Min),2026-10-19 (Max)/2026-01-07 (Min)/2026-03-24 (Avg),142.84/121.86/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 5",No Information,No Information,No Information,No Information,No Information,No Information,9.64%/3.16%/5.41%,"0%, 10.64%",6.8 months/7 days/2 months,7.35%,3.94%,3.41%,1.98,0.16,No Data (Across ALL Assets),No Data (Across ALL Assets),portfolio_target_achieved,142.6969
TRENDPULSE,"TD.TO, Long, 2025-12-28 (Price: 129.16)",Weekly,No Exit Yet,130.852 (Backtested Min),No Date Target,5.3%/5.96%,"1.22%, 9 days","2026-01-29 (Price: 127.9900), 0.91% below",138.5241 (Historic Rise or Fall to Pivot)/137.6587 (Avg % Gain of Historic Winning trades)/146.24 (Exit Rule)/152.0396 (F-Stack 2)/145.0725 (Backtested Max),2028-07-23 (Max)/2026-02-06 (Min)/2026-07-20 (Avg),81.05/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/102.19,"90.0%, Past 10 years, 30",No Information,No Information,No Information,No Information,No Information,3.92% above/1.4% above/1.22% above,12.32%/1.31%/6.58%,"9.57%, 31.6%",1.8 year/28 days/4.7 months,7.49%,5.65%,1.84%,1.01,0.31,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets),portfolio_target_achieved,127.1939
TRENDPULSE,"ETH-USD, Long, 2025-12-27 (Price: 2947.9983)",Daily,No Exit Yet,No Price Target,2026-01-03 (Min),11.94%/20.07%,"1.28%, 5 days","2026-01-29 (Price: 2818.4119), 4.40% below",3593.3151 (Historic Rise or Fall to Pivot)/3342.1457 (Avg % Gain of Historic Winning trades)/3872.72 (Exit Rule)/4922.7188 (Horizontal)/4887.278 (F-Stack 1)/5344.0381 (F-Stack 2)/3585.05 (EMA 200)/4120.1224 (Backtested Max),2026-05-06 (Max)/2026-01-03 (Min)/2026-01-29 (Avg),2827.07/1370.4997/2637.9184/2491.3487/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.86%, Past 4 years, 42",No Information,No Information,No Information,No Information,No Information,2.05% above/1.28% above/1.28% above,39.76%/1.01%/13.37%,"17.31%, 42.86%",3 months/5 days/23 days,60.18%,45.2%,14.98%,0.97,1.15,No Data (Across ALL Assets),No Data (Across ALL Assets),portfolio_target_achieved,2925.7451
DELTADRIFT,"ARM, Long, 2025-12-24 (Price: 111.55)",Daily,No Exit Yet,No Price Target,2025-12-31 (Min),3.33%/7.61%,"-0.93%, 5 days","2026-01-29 (Price: 108.4300), 2.80% below",114.1937 (Historic Rise or Fall to Pivot)/123.642 (Avg % Gain of Historic Winning trades)/118.92 (Exit Rule)/184.93 (Horizontal)/209.6611 (F-Stack 1)/292.8214 (F-Stack 2)/137.54 (EMA 200)/126.3192 (Backtested Max)/120.1282 (Backtested Min),2026-02-14 (Max)/2025-12-31 (Min)/2026-01-14 (Avg),96.83/No Horizontal Support/102.2246/89.5435/No F-Track Level/No F-Track Level/No EMA 200 Support,"83.33%, Past 2 years, 6",No Information,No Information,No Information,No Information,No Information,No Information,13.24%/7.69%/10.84%,"19.77%, 19.77%",1.2 month/5 days/15 days,17.56%,26.25%,-8.69%,0.29,1.04,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets),portfolio_target_achieved,112.09
OSCILLATOR DELTA,"XLU, Long, 2025-12-23 (Price: 42.62)",Daily,No Exit Yet,No Price Target,2026-01-06 (Min),4.81%/6.02%,"0.19%, 13 days","2026-01-29 (Price: 43.3300), 1.67% above",45.271 (Historic Rise or Fall to Pivot)/46.4984 (Avg % Gain of Historic Winning trades)/46.88 (Exit Rule)/49.4858 (F-Stack 1)/65.2454 (F-Stack 2)/54.1913 (Backtested Max)/44.7553 (Backtested Min),2026-11-22 (Max)/2026-01-06 (Min)/2026-04-14 (Avg),No Recent Minima/29.6267/35.4254/30.3912/No F-Track Level/No F-Track Level/42.05,"80.0%, Past 6 years, 15",No Information,No Information,No Information,No Information,No Information,No Information,27.15%/5.01%/9.1%,"11.19%, 14.07%",7.7 months/10 days/2.6 months,16.95%,4.29%,12.66%,0.47,0.2,88.14%/59/1.9 month (Across ALL Assets),66.67%/264/2.6 months (Across ALL Assets),portfolio_target_achieved,42.4
DELTADRIFT,"INDY, Long, 2025-12-22 (Price: 49.33)",Daily,No Exit Yet,No Price Target,2025-12-27 (Min),1.88%/3.73%,"-0.43%, 4 days","2026-01-29 (Price: 47.0400), 4.64% below",51.0023 (Historic Rise or Fall to Pivot)/50.953 (Avg % Gain of Historic Winning trades)/50.98 (Exit Rule)/54.474 (Horizontal)/60.9145 (F-Stack 1)/68.1277 (F-Stack 2)/52.24 (EMA 200)/54.4801 (Backtested Max)/50.0453 (Backtested Min),2026-01-28 (Max)/2025-12-27 (Min)/2026-01-06 (Avg),48.03/40.73/48.7816/37.969/No F-Track Level/No F-Track Level/No EMA 200 Support,"72.73%, Past 4 years, 11",No Information,No Information,No Information,No Information,No Information,No Information,10.44%/1.45%/3.29%,"3.67%, 4.22%",26 days/4 days/11 days,8.33%,2.61%,5.72%,0.34,0.03,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets),portfolio_target_achieved,49.33
